ngay,ngan_hang,loai_giao_dich,tong_giao_dich,thanh_cong,that_bai,tong_so_tien,sr_phan_tram
2026-05-15 00:00:00,BIDV,Rút tiền,1045,999,46,329701,95.6
2026-05-15 00:00:00,BIDV,Chuyển tiền,926,870,56,800867,94.0
2026-05-15 00:00:00,VPBank,Thanh toán,4133,3919,214,587465,94.8
2026-05-15 00:00:00,VPBank,Nạp Tiền,1551,1490,61,312634,96.1
2026-05-15 00:00:00,VPBank,Rút tiền,1043,1005,38,346286,96.4
2026-05-15 00:00:00,VPBank,Chuyển tiền,949,916,33,712191,96.5
2026-05-15 00:00:00,ACB,Thanh toán,3515,3444,71,511885,98.0
2026-05-15 00:00:00,ACB,Nạp Tiền,1347,1312,35,281742,97.4
2026-05-15 00:00:00,ACB,Rút tiền,832,800,32,304491,96.2
2026-05-15 00:00:00,ACB,Chuyển tiền,773,744,29,580085,96.2
2026-05-15 00:00:00,Sacombank,Thanh toán,2278,2117,161,320069,92.9
2026-05-15 00:00:00,Sacombank,Nạp Tiền,864,806,58,187428,93.3
2026-05-15 00:00:00,Sacombank,Rút tiền,540,513,27,202455,95.0
2026-05-15 00:00:00,Sacombank,Chuyển tiền,460,424,36,404747,92.2
2026-05-15 00:00:00,TPBank,Thanh toán,1753,1741,12,285372,99.3
2026-05-15 00:00:00,TPBank,Nạp Tiền,743,722,21,145818,97.2
2026-05-15 00:00:00,TPBank,Rút tiền,474,460,14,162616,97.0
2026-05-15 00:00:00,TPBank,Chuyển tiền,388,374,14,279493,96.4
2026-05-15 00:00:00,Agribank,Thanh toán,1466,1382,84,232393,94.3
2026-05-15 00:00:00,Agribank,Nạp Tiền,555,524,31,115364,94.4
2026-05-15 00:00:00,Agribank,Rút tiền,369,356,13,130590,96.5
2026-05-15 00:00:00,Agribank,Chuyển tiền,344,325,19,258131,94.5
2026-05-16 00:00:00,Vietcombank,Thanh toán,5156,5064,92,785647,98.2
2026-05-16 00:00:00,Vietcombank,Nạp Tiền,2071,1977,94,398759,95.5
2026-05-16 00:00:00,Vietcombank,Rút tiền,1178,1143,35,412535,97.0
2026-05-16 00:00:00,Vietcombank,Chuyển tiền,1212,1155,57,1058954,95.3
2026-05-16 00:00:00,Techcombank,Thanh toán,3733,3675,58,511628,98.4
2026-05-16 00:00:00,Techcombank,Nạp Tiền,1345,1317,28,254753,97.9
2026-05-16 00:00:00,Techcombank,Rút tiền,893,882,11,316905,98.8
2026-05-16 00:00:00,Techcombank,Chuyển tiền,806,784,22,634383,97.3
2026-05-16 00:00:00,MB Bank,Thanh toán,4100,4030,70,592413,98.3
2026-05-16 00:00:00,MB Bank,Nạp Tiền,1340,1303,37,279587,97.2
2026-05-16 00:00:00,MB Bank,Rút tiền,889,866,23,288179,97.4
2026-05-16 00:00:00,MB Bank,Chuyển tiền,840,819,21,729660,97.5
2026-05-16 00:00:00,VietinBank,Thanh toán,3084,2860,224,473809,92.7
2026-05-16 00:00:00,VietinBank,Nạp Tiền,1238,1185,53,226467,95.7
2026-05-16 00:00:00,VietinBank,Rút tiền,739,696,43,239636,94.2
2026-05-16 00:00:00,VietinBank,Chuyển tiền,700,664,36,602478,94.9
2026-05-16 00:00:00,BIDV,Thanh toán,2903,2748,155,430066,94.7
2026-05-16 00:00:00,BIDV,Nạp Tiền,1126,1080,46,230229,95.9
2026-05-16 00:00:00,BIDV,Rút tiền,745,713,32,235082,95.7
2026-05-16 00:00:00,BIDV,Chuyển tiền,662,624,38,546906,94.3
2026-05-16 00:00:00,VPBank,Thanh toán,2535,2418,117,409887,95.4
2026-05-16 00:00:00,VPBank,Nạp Tiền,1038,987,51,198538,95.1
2026-05-16 00:00:00,VPBank,Rút tiền,609,589,20,200514,96.7
2026-05-16 00:00:00,VPBank,Chuyển tiền,620,599,21,496536,96.6
2026-05-16 00:00:00,ACB,Thanh toán,2348,2318,30,376579,98.7
2026-05-16 00:00:00,ACB,Nạp Tiền,830,813,17,176934,98.0
2026-05-16 00:00:00,ACB,Rút tiền,530,509,21,195558,96.0
2026-05-16 00:00:00,ACB,Chuyển tiền,565,556,9,421407,98.4
2026-05-16 00:00:00,Sacombank,Thanh toán,1445,1361,84,213615,94.2
2026-05-16 00:00:00,Sacombank,Nạp Tiền,485,450,35,105633,92.8
2026-05-16 00:00:00,Sacombank,Rút tiền,359,342,17,126795,95.3
2026-05-16 00:00:00,Sacombank,Chuyển tiền,313,293,20,232776,93.6
2026-05-16 00:00:00,TPBank,Thanh toán,1167,1126,41,170311,96.5
2026-05-16 00:00:00,TPBank,Nạp Tiền,418,414,4,78752,99.0
2026-05-16 00:00:00,TPBank,Rút tiền,283,278,5,96151,98.2
2026-05-16 00:00:00,TPBank,Chuyển tiền,283,279,4,222160,98.6
2026-05-16 00:00:00,Agribank,Thanh toán,927,892,35,131728,96.2
2026-05-16 00:00:00,Agribank,Nạp Tiền,333,321,12,70739,96.4
2026-05-16 00:00:00,Agribank,Rút tiền,236,221,15,86508,93.6
2026-05-16 00:00:00,Agribank,Chuyển tiền,215,205,10,168962,95.3
2026-05-17 00:00:00,Vietcombank,Thanh toán,5619,5501,118,895233,97.9
2026-05-17 00:00:00,Vietcombank,Nạp Tiền,1930,1849,81,401538,95.8
2026-05-17 00:00:00,Vietcombank,Rút tiền,1263,1237,26,473753,97.9
2026-05-17 00:00:00,Vietcombank,Chuyển tiền,1133,1081,52,982256,95.4
2026-05-17 00:00:00,Techcombank,Thanh toán,4009,3881,128,636871,96.8
2026-05-17 00:00:00,Techcombank,Nạp Tiền,1386,1338,48,286072,96.5
2026-05-17 00:00:00,Techcombank,Rút tiền,965,935,30,362362,96.9
2026-05-17 00:00:00,Techcombank,Chuyển tiền,867,836,31,694904,96.4
2026-05-17 00:00:00,MB Bank,Thanh toán,4052,3954,98,550375,97.6
2026-05-17 00:00:00,MB Bank,Nạp Tiền,1340,1302,38,292791,97.2
2026-05-17 00:00:00,MB Bank,Rút tiền,895,866,29,319300,96.8
2026-05-17 00:00:00,MB Bank,Chuyển tiền,852,837,15,656200,98.2
2026-05-17 00:00:00,VietinBank,Thanh toán,3128,2936,192,476387,93.9
2026-05-17 00:00:00,VietinBank,Nạp Tiền,1159,1076,83,228835,92.8
2026-05-17 00:00:00,VietinBank,Rút tiền,778,743,35,274394,95.5
2026-05-17 00:00:00,VietinBank,Chuyển tiền,748,711,37,626768,95.1
2026-05-17 00:00:00,BIDV,Thanh toán,2814,2670,144,385797,94.9
2026-05-17 00:00:00,BIDV,Nạp Tiền,1157,1117,40,237099,96.5
2026-05-17 00:00:00,BIDV,Rút tiền,726,699,27,265267,96.3
2026-05-17 00:00:00,BIDV,Chuyển tiền,630,597,33,520822,94.8
2026-05-17 00:00:00,VPBank,Thanh toán,2634,2524,110,378952,95.8
2026-05-17 00:00:00,VPBank,Nạp Tiền,929,884,45,191928,95.2
2026-05-17 00:00:00,VPBank,Rút tiền,631,610,21,238641,96.7
2026-05-17 00:00:00,VPBank,Chuyển tiền,617,591,26,484327,95.8
2026-05-17 00:00:00,ACB,Thanh toán,2220,2151,69,313698,96.9
2026-05-17 00:00:00,ACB,Nạp Tiền,889,866,23,175743,97.4
2026-05-17 00:00:00,ACB,Rút tiền,552,538,14,204549,97.5
2026-05-17 00:00:00,ACB,Chuyển tiền,505,492,13,386529,97.4
2026-05-17 00:00:00,Sacombank,Thanh toán,1501,1417,84,217728,94.4
2026-05-17 00:00:00,Sacombank,Nạp Tiền,514,486,28,97138,94.6
2026-05-17 00:00:00,Sacombank,Rút tiền,327,304,23,104062,93.0
2026-05-17 00:00:00,Sacombank,Chuyển tiền,320,300,20,269746,93.8
2026-05-17 00:00:00,TPBank,Thanh toán,1251,1222,29,192520,97.7
2026-05-17 00:00:00,TPBank,Nạp Tiền,437,431,6,85371,98.6
2026-05-17 00:00:00,TPBank,Rút tiền,293,285,8,105750,97.3
2026-05-17 00:00:00,TPBank,Chuyển tiền,248,244,4,212702,98.4
2026-05-17 00:00:00,Agribank,Thanh toán,915,877,38,129532,95.8
2026-05-17 00:00:00,Agribank,Nạp Tiền,374,360,14,75068,96.3
2026-05-17 00:00:00,Agribank,Rút tiền,213,203,10,80774,95.3
2026-05-17 00:00:00,Agribank,Chuyển tiền,201,190,11,170493,94.5
2026-05-18 00:00:00,Vietcombank,Thanh toán,8677,8526,151,1326397,98.3
2026-05-18 00:00:00,Vietcombank,Nạp Tiền,3146,3082,64,643376,98.0
2026-05-18 00:00:00,Vietcombank,Rút tiền,2052,1982,70,776640,96.6
2026-05-18 00:00:00,Vietcombank,Chuyển tiền,1884,1837,47,1580647,97.5
2026-05-18 00:00:00,Techcombank,Thanh toán,6103,5935,168,961547,97.2
2026-05-18 00:00:00,Techcombank,Nạp Tiền,2369,2292,77,500112,96.7
2026-05-18 00:00:00,Techcombank,Rút tiền,1452,1420,32,485290,97.8
2026-05-18 00:00:00,Techcombank,Chuyển tiền,1245,1214,31,943111,97.5
2026-05-18 00:00:00,MB Bank,Thanh toán,5732,5592,140,866704,97.6
2026-05-18 00:00:00,MB Bank,Nạp Tiền,2030,1970,60,396502,97.0
2026-05-18 00:00:00,MB Bank,Rút tiền,1313,1296,17,419498,98.7
2026-05-18 00:00:00,MB Bank,Chuyển tiền,1280,1243,37,1017021,97.1
2026-05-18 00:00:00,VietinBank,Thanh toán,4693,4380,313,692707,93.3
2026-05-18 00:00:00,VietinBank,Nạp Tiền,1694,1614,80,356796,95.3
2026-05-18 00:00:00,VietinBank,Rút tiền,1191,1121,70,453761,94.1
2026-05-18 00:00:00,VietinBank,Chuyển tiền,1087,1027,60,931071,94.5
2026-05-18 00:00:00,BIDV,Thanh toán,4604,4393,211,723007,95.4
2026-05-18 00:00:00,BIDV,Nạp Tiền,1630,1553,77,311195,95.3
2026-05-18 00:00:00,BIDV,Rút tiền,1111,1043,68,376105,93.9
2026-05-18 00:00:00,BIDV,Chuyển tiền,1014,968,46,866443,95.5
2026-05-18 00:00:00,VPBank,Thanh toán,3925,3829,96,592768,97.6
2026-05-18 00:00:00,VPBank,Nạp Tiền,1612,1544,68,326551,95.8
2026-05-18 00:00:00,VPBank,Rút tiền,903,857,46,311537,94.9
2026-05-18 00:00:00,VPBank,Chuyển tiền,946,895,51,720497,94.6
2026-05-18 00:00:00,ACB,Thanh toán,3751,3625,126,543164,96.6
2026-05-18 00:00:00,ACB,Nạp Tiền,1436,1416,20,274463,98.6
2026-05-18 00:00:00,ACB,Rút tiền,914,884,30,293150,96.7
2026-05-18 00:00:00,ACB,Chuyển tiền,750,733,17,546250,97.7
2026-05-18 00:00:00,Sacombank,Thanh toán,2228,2076,152,305366,93.2
2026-05-18 00:00:00,Sacombank,Nạp Tiền,756,716,40,164796,94.7
2026-05-18 00:00:00,Sacombank,Rút tiền,509,484,25,182473,95.1
2026-05-18 00:00:00,Sacombank,Chuyển tiền,478,442,36,395360,92.5
2026-05-18 00:00:00,TPBank,Thanh toán,2034,2019,15,302966,99.3
2026-05-18 00:00:00,TPBank,Nạp Tiền,667,658,9,124536,98.7
2026-05-18 00:00:00,TPBank,Rút tiền,427,422,5,139399,98.8
2026-05-18 00:00:00,TPBank,Chuyển tiền,420,404,16,304125,96.2
2026-05-18 00:00:00,Agribank,Thanh toán,1446,1377,69,234600,95.2
2026-05-18 00:00:00,Agribank,Nạp Tiền,545,516,29,113687,94.7
2026-05-18 00:00:00,Agribank,Rút tiền,327,312,15,122016,95.4
2026-05-18 00:00:00,Agribank,Chuyển tiền,314,293,21,264889,93.3
2026-05-19 00:00:00,Vietcombank,Thanh toán,8819,8618,201,1401222,97.7
2026-05-19 00:00:00,Vietcombank,Nạp Tiền,3049,2977,72,591164,97.6
2026-05-19 00:00:00,Vietcombank,Rút tiền,2013,1958,55,643811,97.3
2026-05-19 00:00:00,Vietcombank,Chuyển tiền,1830,1736,94,1440593,94.9
2026-05-19 00:00:00,Techcombank,Thanh toán,6118,5887,231,1002272,96.2
2026-05-19 00:00:00,Techcombank,Nạp Tiền,2368,2334,34,469786,98.6
2026-05-19 00:00:00,Techcombank,Rút tiền,1367,1329,38,500821,97.2
2026-05-19 00:00:00,Techcombank,Chuyển tiền,1392,1339,53,1182242,96.2
2026-05-19 00:00:00,MB Bank,Thanh toán,5940,5876,64,884740,98.9
2026-05-19 00:00:00,MB Bank,Nạp Tiền,2263,2204,59,484437,97.4
2026-05-19 00:00:00,MB Bank,Rút tiền,1486,1477,9,497104,99.4
2026-05-19 00:00:00,MB Bank,Chuyển tiền,1291,1250,41,1025510,96.8
2026-05-19 00:00:00,VietinBank,Thanh toán,5254,4976,278,762312,94.7
2026-05-19 00:00:00,VietinBank,Nạp Tiền,1937,1845,92,362748,95.3
2026-05-19 00:00:00,VietinBank,Rút tiền,1148,1076,72,382381,93.7
2026-05-19 00:00:00,VietinBank,Chuyển tiền,1082,1026,56,900428,94.8
2026-05-19 00:00:00,BIDV,Thanh toán,4457,4255,202,670773,95.5
2026-05-19 00:00:00,BIDV,Nạp Tiền,1615,1519,96,337216,94.1
2026-05-19 00:00:00,BIDV,Rút tiền,1112,1062,50,368986,95.5
2026-05-19 00:00:00,BIDV,Chuyển tiền,1032,983,49,824084,95.3
2026-05-19 00:00:00,VPBank,Thanh toán,3812,3617,195,539961,94.9
2026-05-19 00:00:00,VPBank,Nạp Tiền,1557,1484,73,321611,95.3
2026-05-19 00:00:00,VPBank,Rút tiền,991,952,39,348995,96.1
2026-05-19 00:00:00,VPBank,Chuyển tiền,936,909,27,756346,97.1
2026-05-19 00:00:00,ACB,Thanh toán,3776,3705,71,540449,98.1
2026-05-19 00:00:00,ACB,Nạp Tiền,1306,1263,43,272759,96.7
2026-05-19 00:00:00,ACB,Rút tiền,887,855,32,312676,96.4
2026-05-19 00:00:00,ACB,Chuyển tiền,793,762,31,664674,96.1
2026-05-19 00:00:00,Sacombank,Thanh toán,2190,2073,117,359813,94.7
2026-05-19 00:00:00,Sacombank,Nạp Tiền,818,781,37,174483,95.5
2026-05-19 00:00:00,Sacombank,Rút tiền,521,485,36,170659,93.1
2026-05-19 00:00:00,Sacombank,Chuyển tiền,449,423,26,332373,94.2
2026-05-19 00:00:00,TPBank,Thanh toán,1769,1757,12,268181,99.3
2026-05-19 00:00:00,TPBank,Nạp Tiền,724,718,6,148792,99.2
2026-05-19 00:00:00,TPBank,Rút tiền,475,459,16,150032,96.6
2026-05-19 00:00:00,TPBank,Chuyển tiền,417,406,11,329628,97.4
2026-05-19 00:00:00,Agribank,Thanh toán,1414,1363,51,201600,96.4
2026-05-19 00:00:00,Agribank,Nạp Tiền,558,524,34,101898,93.9
2026-05-19 00:00:00,Agribank,Rút tiền,354,332,22,127107,93.8
2026-05-19 00:00:00,Agribank,Chuyển tiền,302,282,20,256634,93.4
2026-05-20 00:00:00,Vietcombank,Thanh toán,8212,7847,365,1169764,95.6
2026-05-20 00:00:00,Vietcombank,Nạp Tiền,3045,2972,73,621949,97.6
2026-05-20 00:00:00,Vietcombank,Rút tiền,1909,1864,45,652164,97.6
2026-05-20 00:00:00,Vietcombank,Chuyển tiền,1882,1801,81,1532256,95.7
2026-05-20 00:00:00,Techcombank,Thanh toán,6056,5863,193,930388,96.8
2026-05-20 00:00:00,Techcombank,Nạp Tiền,2355,2326,29,433247,98.8
2026-05-20 00:00:00,Techcombank,Rút tiền,1523,1470,53,502242,96.5
2026-05-20 00:00:00,Techcombank,Chuyển tiền,1395,1334,61,1057937,95.6
2026-05-20 00:00:00,MB Bank,Thanh toán,5954,5765,189,804267,96.8
2026-05-20 00:00:00,MB Bank,Nạp Tiền,2190,2161,29,435364,98.7
2026-05-20 00:00:00,MB Bank,Rút tiền,1282,1247,35,467272,97.3
2026-05-20 00:00:00,MB Bank,Chuyển tiền,1355,1337,18,991031,98.7
2026-05-20 00:00:00,VietinBank,Thanh toán,4869,4649,220,772393,95.5
2026-05-20 00:00:00,VietinBank,Nạp Tiền,1785,1677,108,360181,93.9
2026-05-20 00:00:00,VietinBank,Rút tiền,1259,1173,86,419995,93.2
2026-05-20 00:00:00,VietinBank,Chuyển tiền,1047,968,79,781635,92.5
2026-05-20 00:00:00,BIDV,Thanh toán,4489,4291,198,717015,95.6
2026-05-20 00:00:00,BIDV,Nạp Tiền,1665,1584,81,330915,95.1
2026-05-20 00:00:00,BIDV,Rút tiền,1064,1020,44,405370,95.9
2026-05-20 00:00:00,BIDV,Chuyển tiền,1039,986,53,820853,94.9
2026-05-20 00:00:00,VPBank,Thanh toán,4407,4174,233,652063,94.7
2026-05-20 00:00:00,VPBank,Nạp Tiền,1462,1410,52,264672,96.4
2026-05-20 00:00:00,VPBank,Rút tiền,955,931,24,356708,97.5
2026-05-20 00:00:00,VPBank,Chuyển tiền,833,809,24,689361,97.1
2026-05-20 00:00:00,ACB,Thanh toán,3691,3607,84,582784,97.7
2026-05-20 00:00:00,ACB,Nạp Tiền,1286,1253,33,264993,97.4
2026-05-20 00:00:00,ACB,Rút tiền,878,848,30,312544,96.6
2026-05-20 00:00:00,ACB,Chuyển tiền,871,857,14,692620,98.4
2026-05-20 00:00:00,Sacombank,Thanh toán,2258,2111,147,350224,93.5
2026-05-20 00:00:00,Sacombank,Nạp Tiền,787,736,51,163496,93.5
2026-05-20 00:00:00,Sacombank,Rút tiền,520,491,29,178376,94.4
2026-05-20 00:00:00,Sacombank,Chuyển tiền,518,477,41,380258,92.1
2026-05-20 00:00:00,TPBank,Thanh toán,1875,1826,49,307697,97.4
2026-05-20 00:00:00,TPBank,Nạp Tiền,686,679,7,146116,99.0
2026-05-20 00:00:00,TPBank,Rút tiền,413,406,7,145781,98.3
2026-05-20 00:00:00,TPBank,Chuyển tiền,433,416,17,347677,96.1
2026-05-20 00:00:00,Agribank,Thanh toán,1526,1461,65,234641,95.7
2026-05-20 00:00:00,Agribank,Nạp Tiền,503,473,30,101590,94.0
2026-05-20 00:00:00,Agribank,Rút tiền,341,323,18,124082,94.7
2026-05-20 00:00:00,Agribank,Chuyển tiền,306,285,21,251165,93.1
2026-05-21 00:00:00,Vietcombank,Thanh toán,8080,7872,208,1166125,97.4
2026-05-21 00:00:00,Vietcombank,Nạp Tiền,2767,2683,84,508376,97.0
2026-05-21 00:00:00,Vietcombank,Rút tiền,1852,1791,61,598608,96.7
2026-05-21 00:00:00,Vietcombank,Chuyển tiền,1734,1670,64,1447294,96.3
2026-05-21 00:00:00,Techcombank,Thanh toán,6138,6016,122,905138,98.0
2026-05-21 00:00:00,Techcombank,Nạp Tiền,2290,2263,27,434525,98.8
2026-05-21 00:00:00,Techcombank,Rút tiền,1469,1415,54,482335,96.3
2026-05-21 00:00:00,Techcombank,Chuyển tiền,1379,1337,42,1186894,97.0
2026-05-21 00:00:00,MB Bank,Thanh toán,6273,6073,200,992264,96.8
2026-05-21 00:00:00,MB Bank,Nạp Tiền,2172,2120,52,459396,97.6
2026-05-21 00:00:00,MB Bank,Rút tiền,1342,1329,13,449299,99.0
2026-05-21 00:00:00,MB Bank,Chuyển tiền,1252,1235,17,1017610,98.6
2026-05-21 00:00:00,VietinBank,Thanh toán,5305,4996,309,739823,94.2
2026-05-21 00:00:00,VietinBank,Nạp Tiền,1959,1844,115,378669,94.1
2026-05-21 00:00:00,VietinBank,Rút tiền,1233,1157,76,468909,93.8
2026-05-21 00:00:00,VietinBank,Chuyển tiền,1059,1008,51,802943,95.2
2026-05-21 00:00:00,BIDV,Thanh toán,4567,4316,251,722802,94.5
2026-05-21 00:00:00,BIDV,Nạp Tiền,1540,1459,81,306335,94.7
2026-05-21 00:00:00,BIDV,Rút tiền,1084,1029,55,391820,94.9
2026-05-21 00:00:00,BIDV,Chuyển tiền,949,900,49,688901,94.8
2026-05-21 00:00:00,VPBank,Thanh toán,4309,4201,108,624631,97.5
2026-05-21 00:00:00,VPBank,Nạp Tiền,1405,1366,39,277645,97.2
2026-05-21 00:00:00,VPBank,Rút tiền,1031,1003,28,325872,97.3
2026-05-21 00:00:00,VPBank,Chuyển tiền,864,824,40,712596,95.4
2026-05-21 00:00:00,ACB,Thanh toán,3574,3439,135,566285,96.2
2026-05-21 00:00:00,ACB,Nạp Tiền,1309,1270,39,271890,97.0
2026-05-21 00:00:00,ACB,Rút tiền,827,815,12,309847,98.5
2026-05-21 00:00:00,ACB,Chuyển tiền,843,829,14,691502,98.3
2026-05-21 00:00:00,Sacombank,Thanh toán,2298,2186,112,312704,95.1
2026-05-21 00:00:00,Sacombank,Nạp Tiền,763,711,52,158227,93.2
2026-05-21 00:00:00,Sacombank,Rút tiền,520,497,23,190982,95.6
2026-05-21 00:00:00,Sacombank,Chuyển tiền,503,478,25,423354,95.0
2026-05-21 00:00:00,TPBank,Thanh toán,1797,1756,41,280008,97.7
2026-05-21 00:00:00,TPBank,Nạp Tiền,638,616,22,135157,96.6
2026-05-21 00:00:00,TPBank,Rút tiền,450,439,11,155316,97.6
2026-05-21 00:00:00,TPBank,Chuyển tiền,412,402,10,333945,97.6
2026-05-21 00:00:00,Agribank,Thanh toán,1569,1475,94,220055,94.0
2026-05-21 00:00:00,Agribank,Nạp Tiền,575,553,22,117753,96.2
2026-05-21 00:00:00,Agribank,Rút tiền,338,321,17,120267,95.0
2026-05-21 00:00:00,Agribank,Chuyển tiền,313,295,18,238079,94.2
2026-05-22 00:00:00,Vietcombank,Thanh toán,8112,7893,219,1313878,97.3
2026-05-22 00:00:00,Vietcombank,Nạp Tiền,2998,2938,60,620899,98.0
2026-05-22 00:00:00,Vietcombank,Rút tiền,1874,1790,84,714306,95.5
2026-05-22 00:00:00,Vietcombank,Chuyển tiền,1809,1750,59,1425291,96.7
2026-05-22 00:00:00,Techcombank,Thanh toán,5873,5713,160,846085,97.3
2026-05-22 00:00:00,Techcombank,Nạp Tiền,2239,2205,34,412571,98.5
2026-05-22 00:00:00,Techcombank,Rút tiền,1425,1391,34,506212,97.6
2026-05-22 00:00:00,Techcombank,Chuyển tiền,1405,1353,52,1231441,96.3
2026-05-22 00:00:00,MB Bank,Thanh toán,6063,5929,134,819977,97.8
2026-05-22 00:00:00,MB Bank,Nạp Tiền,1985,1972,13,416466,99.3
2026-05-22 00:00:00,MB Bank,Rút tiền,1487,1477,10,498194,99.3
2026-05-22 00:00:00,MB Bank,Chuyển tiền,1380,1336,44,1170666,96.8
2026-05-22 00:00:00,VietinBank,Thanh toán,4854,4592,262,745704,94.6
2026-05-22 00:00:00,VietinBank,Nạp Tiền,1754,1659,95,379102,94.6
2026-05-22 00:00:00,VietinBank,Rút tiền,1259,1169,90,466085,92.9
2026-05-22 00:00:00,VietinBank,Chuyển tiền,1019,957,62,853083,93.9
2026-05-22 00:00:00,BIDV,Thanh toán,4267,4119,148,617868,96.5
2026-05-22 00:00:00,BIDV,Nạp Tiền,1730,1632,98,320545,94.3
2026-05-22 00:00:00,BIDV,Rút tiền,1125,1085,40,383186,96.4
